"Relative"	"Dir"	"Name"	"MatchDir"	"ValidChars"	"HasDescription"
".github\skills\context_tools\agent_bdd\SKILL.md"	"agent_bdd"	"agent_bdd"	"True"	"False"	"True"
".github\skills\context_tools\car\car-full_journey\SKILL.md"	"car-full_journey"	"car-full_journey"	"True"	"False"	"True"
".github\skills\context_tools\car\car-road_story\SKILL.md"	"car-road_story"	"car-road_story"	"True"	"False"	"True"
".github\skills\context_tools\car\car-trip_outline\SKILL.md"	"car-trip_outline"	"car-trip_outline"	"True"	"False"	"True"
".github\skills\context_tools\clean_engineering\clean_engineering-code\SKILL.md"	"clean_engineering-code"	"clean_engineering-code"	"True"	"False"	"True"
".github\skills\context_tools\clean_engineering\clean_engineering-model\SKILL.md"	"clean_engineering-model"	"clean_engineering-model"	"True"	"False"	"True"
".github\skills\context_tools\clean_engineering\clean_engineering-modules\SKILL.md"	"clean_engineering-modules"	"clean_engineering-modules"	"True"	"False"	"True"
".github\skills\context_tools\clean_engineering\SKILL.md"	"clean_engineering"	"clean_engineering"	"True"	"False"	"True"
".github\skills\context_tools\create_context_tool\SKILL.md"	"create_context_tool"	"create_context_tool"	"True"	"False"	"True"
".github\skills\context_tools\ddd\ddd-bounded_context\SKILL.md"	"ddd-bounded_context"	"ddd-bounded_context"	"True"	"False"	"True"
".github\skills\context_tools\ddd\ddd-building_blocks\SKILL.md"	"ddd-building_blocks"	"ddd-building_blocks"	"True"	"False"	"True"
".github\skills\context_tools\stories\stories-acceptance_tests\SKILL.md"	"stories-acceptance_tests"	"stories-acceptance_tests"	"True"	"False"	"True"
".github\skills\context_tools\stories\stories-story_map\SKILL.md"	"stories-story_map"	"stories-story_map"	"True"	"False"	"True"
".github\skills\context_tools\ux\ux-front_end_code\SKILL.md"	"ux-front_end_code"	"ux-front_end_code"	"True"	"False"	"True"
".github\skills\formats\code\SKILL.md"	"code"	"code"	"True"	"True"	"False"
".github\skills\formats\drawio\SKILL.md"	"drawio"	"drawio"	"True"	"True"	"False"
".github\skills\formats\markdown\SKILL.md"	"markdown"	"markdown"	"True"	"True"	"False"
".github\skills\formats\miro\SKILL.md"	"miro"	"miro"	"True"	"True"	"False"
".github\skills\utilities\turn\auto_turn_after_agent_response_off\SKILL.md"	"auto_turn_after_agent_response_off"	"auto_turn_after_agent_response_off"	"True"	"False"	"True"
".github\skills\utilities\turn\auto_turn_after_agent_response_on\SKILL.md"	"auto_turn_after_agent_response_on"	"auto_turn_after_agent_response_on"	"True"	"False"	"True"
