"prefix","col1"
"actions","Generate"
"actions","Validate"
"actions","Document"
"actions","Satisfy"
"actions","Render"
"tools","WorkSession"
"tools","WorkSessionGuidance"
"tools","WorkSessionRulesCollection"
"tools","WorkSessionRule"
"tools","Example"
"tools","Examples"
"tools","Turn"
"tools","TurnCommit"
"tools","Workspace"
"tools","SessionLog"
"tools","ContextIndex"
"tools","RankedChunk"
"tools","EmbedResult"
"tools","SearchResult"
"tools","EmbeddingProvider"
"tools","OpenAIEmbeddingProvider"
"tools","StructureNote"
"tools","ConversionResult"
"tools","ScreenResult"
"tools","SmokeTestResult"
"tools","PageCapture"
"tools","ScoutResult"
"tools","CaptureResult"
"tools","ContextSetup"
"tools","SessionPaths"
"tools","PromptLog"
"tools","ISessionLog"
"tools","ToolCall"
"tools","PathOverride"
"tools","SessionModel"
"tools","Mistake"
"tools","Correction"
"tools","Repair"
"tools","Repairs"
"tools","ContextTool"
"harness","AppliesTo"
"harness","Rule"
"harness","RulesCollection"
"harness","Session"
"harness","PracticeGuidance"
"harness","Markdown"
"harness","SampleAgenticOps"
"harness","SampleMcpOps"
"harness","GuidanceAction"
"harness","FidelityGuidance"
"harness","SamplePracticeWithFidelities"
"harness","Guidance"
"harness","GuidanceCollection"
"harness","SampleGuidance"
"harness","SamplePracticeGuidance"
"harness","SplitPracticeGuidance"
"harness","SampleHookOps"
"harness","SampleMcpGuidance"
"harness","SampleMcpPractice"
"harness","OtherTool"
"harness","SampleTool"
"harness","Render"
"installation","Skill"
"installation","Installer"
"installation","Destination"
"installation","Installation"
"installation","Command"
"installation","Rules"
"installation","Agent"
"installation","AgentGuidance"
"installation","FileInstallation"
"actions/grill_context","GrillContext"
"harness/hooks","Hook"
"harness/hooks","HookDaemon"
"harness/hooks","HookServer"
"harness/hooks","CursorEvent"
"harness/hooks","HookPayload"
"harness/hooks","HookResult"
"harness/hooks","HookHandler"
"harness/hooks","HandlerCatalog"
"harness/hooks","HookStandupFailed"
"harness/hooks","HookIllegitimateHandler"
"harness/hooks","SessionLogs"
"harness/hooks","Hooks"
"harness/hooks","HookInstallation"
